target,model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes,ap_lift
loss10,combined_ews_correlation,0.1,4510,197,0.04368070953436807,0.7458139187275867,0.15053995383708008,741,93,104,0.17180616740088106,0.4720812182741117,0.11151079136690648,0.18492239467849225,45,39,0.6440973013762734,0.22905027325678487,9,3.44637153200625
loss10,combined_z,0.01,4510,197,0.04368070953436807,0.7635468734000972,0.17907323448561352,371,68,129,0.08601901228843033,0.34517766497461927,0.1548974943052392,0.09733924611973392,60,51,0.6001529213018431,0.2090400567162877,9,4.0995953681731825
loss10,combined_z,0.05,4510,197,0.04368070953436807,0.7635468734000972,0.17907323448561352,561,79,118,0.13007187572455367,0.4010152284263959,0.1234375,0.1419068736141907,80,72,0.6001529213018431,0.2090400567162877,9,4.0995953681731825
loss10,combined_z,0.1,4510,197,0.04368070953436807,0.7635468734000972,0.17907323448561352,814,115,82,0.18873174124739162,0.583756345177665,0.12378902045209902,0.20598669623059868,92,76,0.6001529213018431,0.2090400567162877,9,4.0995953681731825
loss10,combined_z_correlation,0.01,4510,197,0.04368070953436807,0.7491093506704438,0.15193227868934311,276,53,144,0.06399258057036865,0.26903553299492383,0.16109422492401215,0.0729490022172949,66,61,0.5998910277183067,0.2191661607393032,9,3.478246583192576
loss10,combined_z_correlation,0.05,4510,197,0.04368070953436807,0.7491093506704438,0.15193227868934311,533,68,129,0.12357987479712497,0.34517766497461927,0.11314475873544093,0.13325942350332595,107,96,0.5998910277183067,0.2191661607393032,9,3.478246583192576
loss10,combined_z_correlation,0.1,4510,197,0.04368070953436807,0.7491093506704438,0.15193227868934311,788,106,91,0.1827034546719221,0.5380710659898477,0.1185682326621924,0.1982261640798226,120,103,0.5998910277183067,0.2191661607393032,9,3.478246583192576
loss10,market,0.01,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,446,62,135,0.10340830048690007,0.3147208121827411,0.1220472440944882,0.11263858093126386,45,40,0.5860480432025895,0.20887842869678833,9,4.077908392976153
loss10,market,0.05,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,667,81,116,0.1546487363783909,0.41116751269035534,0.10828877005347594,0.16585365853658537,53,47,0.5860480432025895,0.20887842869678833,9,4.077908392976153
loss10,market,0.1,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,902,115,82,0.2091351727335961,0.583756345177665,0.11307767944936087,0.22549889135254989,64,50,0.5860480432025895,0.20887842869678833,9,4.077908392976153
loss10,market_correlation,0.01,4510,197,0.04368070953436807,0.7407318918957091,0.14783464880673908,312,54,143,0.07233943890563413,0.27411167512690354,0.14754098360655737,0.0811529933481153,43,39,0.5797908902519688,0.21450165471651825,9,3.3844378990781383
loss10,market_correlation,0.05,4510,197,0.04368070953436807,0.7407318918957091,0.14783464880673908,534,66,131,0.12381173197310456,0.3350253807106599,0.11,0.13303769401330376,63,58,0.5797908902519688,0.21450165471651825,9,3.3844378990781383
loss10,market_correlation,0.1,4510,197,0.04368070953436807,0.7407318918957091,0.14783464880673908,781,95,102,0.18108045444006493,0.48223350253807107,0.10844748858447488,0.1942350332594235,77,69,0.5797908902519688,0.21450165471651825,9,3.3844378990781383
loss10,topology,0.01,4510,197,0.04368070953436807,0.582455826500216,0.051327049975643226,289,22,175,0.06700672385810341,0.1116751269035533,0.0707395498392283,0.06895787139689578,107,90,0.5679859387272534,0.18194569767552493,9,1.1750507380210709
loss10,topology,0.05,4510,197,0.04368070953436807,0.582455826500216,0.051327049975643226,544,72,125,0.12613030373290054,0.36548223350253806,0.11688311688311688,0.13658536585365855,146,122,0.5679859387272534,0.18194569767552493,9,1.1750507380210709
loss10,topology,0.1,4510,197,0.04368070953436807,0.582455826500216,0.051327049975643226,800,94,103,0.18548574078367724,0.47715736040609136,0.10514541387024609,0.1982261640798226,172,159,0.5679859387272534,0.18194569767552493,9,1.1750507380210709
